row_id,cell_id,discharge_capacity_cycle_0,discharge_capacity_cycle_1,discharge_capacity_cycle_9,discharge_capacity_difference_cycle_9_minus_0,discharge_capacity_log_abs_difference_cycle_9_minus_0
58,surrogate_cell_00058,1.5524533,1.0683031,1.0725927,-0.4798606000000001,-0.31888490729743835
59,surrogate_cell_00059,1.5448972,1.0528059,1.0562594,-0.4886378,-0.3110129399477903
60,surrogate_cell_00060,1.5472994,1.0635229,1.0673919,-0.47990749999999993,-0.3188424628544164
61,surrogate_cell_00061,1.5465623,1.0561703,1.0603291,-0.48623320000000003,-0.31315539085473143
62,surrogate_cell_00062,1.5502931,1.0644249,1.0683537,-0.4819393999999999,-0.3170075673622987
63,surrogate_cell_00063,1.5303241,1.0505834,1.0547526,-0.47557150000000004,-0.32278417962771117
64,surrogate_cell_00064,1.5440578,1.0526235,1.057379,-0.48667879999999997,-0.312757571453455
65,surrogate_cell_00065,1.5511974,1.0673373,1.0719399,-0.4792574999999999,-0.3194310820314084
66,surrogate_cell_00066,1.5550526,1.0636387,1.0672916,-0.4877610000000001,-0.31179292760055527
67,surrogate_cell_00067,1.5426459,1.0542823,1.0592489,-0.48339699999999985,-0.3156960491849973
68,surrogate_cell_00068,1.5495478,1.0625765,1.0668437,-0.4827041000000001,-0.3163190123471501
69,surrogate_cell_00069,1.5519251,1.0649804,1.0703555,-0.48156960000000004,-0.31734093655198625
70,surrogate_cell_00070,1.5344049,1.0621216,1.0674515,-0.46695339999999996,-0.3307264580467976
71,surrogate_cell_00071,1.5537159,1.061367,1.0666513,-0.48706460000000007,-0.31241343393245063
72,surrogate_cell_00072,1.554436,1.0659766,1.071111,-0.483325,-0.31576074038423496
73,surrogate_cell_00073,1.5453937,1.0543786,1.0590211,-0.48637259999999993,-0.3130308992031462
74,surrogate_cell_00074,1.5491458,1.0636719,1.0686412,-0.48050459999999995,-0.31830245035654203
75,surrogate_cell_00075,1.5472183,1.0638303,1.069052,-0.47816630000000004,-0.32042103516156323
76,surrogate_cell_00076,1.5450482,1.0602639,1.0646616,-0.4803866000000001,-0.31840911539650085
77,surrogate_cell_00077,1.547478,1.0612221,1.065392,-0.482086,-0.31687548044521596
78,surrogate_cell_00078,1.5429747,1.056167,1.0603276,-0.4826471000000001,-0.3163702989369367
79,surrogate_cell_00079,1.5420854,1.0591148,1.0627782,-0.47930720000000004,-0.31938604712501145
80,surrogate_cell_00080,1.5141832,1.0257568,1.0306096,-0.48357359999999994,-0.31553741684114583
81,surrogate_cell_00081,1.5399417,1.0489802,1.0537021,-0.4862396,-0.31314967453097575
82,surrogate_cell_00082,1.54839,1.0570194,1.0613413,-0.4870486999999999,-0.31242761150761145
83,surrogate_cell_00083,1.5426482,1.0571853,1.0625529,-0.4800952999999999,-0.31867254563179653
84,surrogate_cell_00084,1.5511113,1.0650063,1.0698496,-0.4812617000000001,-0.3176186991788055
85,surrogate_cell_00085,1.5533057,1.0703586,1.0756617,-0.47764399999999996,-0.3208956733412843
86,surrogate_cell_00086,1.5520773,1.0601695,1.0645497,-0.48752760000000017,-0.3120007929114203
87,surrogate_cell_00087,1.549998,1.0591966,1.063394,-0.48660400000000004,-0.31282432538624866
88,surrogate_cell_00088,1.5564579,1.0596243,1.0633972,-0.4930607,-0.3070996120559443
89,surrogate_cell_00089,1.554559,1.0712579,1.0750737,-0.4794853000000001,-0.31922470283390264
90,surrogate_cell_00090,1.5494038,1.0645061,1.0692422,-0.4801616000000002,-0.3186125747548447
91,surrogate_cell_00091,1.5564909,1.0690004,1.0733541,-0.48313680000000003,-0.3159298815184777
92,surrogate_cell_00092,1.5370362,1.0629869,1.0675248,-0.4695114,-0.328353858355439
93,surrogate_cell_00093,1.5484579,1.0556208,1.0604448,-0.4880131000000001,-0.3115685198378905
94,surrogate_cell_00094,1.5466163,1.0635173,1.0686042,-0.47801209999999994,-0.320561109879189
95,surrogate_cell_00095,1.5588486,1.0727274,1.0776558,-0.48119279999999987,-0.31768087955170476
96,surrogate_cell_00096,1.5546062,1.0581849,1.0623688,-0.49223740000000005,-0.307825391858352
97,surrogate_cell_00097,1.5495697,1.0537434,1.0595887,-0.489981,-0.30982076028721267
98,surrogate_cell_00098,1.5428623,1.0564184,1.0615554,-0.48130689999999987,-0.31757791224560133
99,surrogate_cell_00099,1.5429027,1.0561757,1.0606432,-0.48225950000000006,-0.3167192084588312
100,surrogate_cell_00100,1.5522293,1.0705363,1.0753692,-0.4768601000000001,-0.3216090144802137
101,surrogate_cell_00101,1.5479361,1.0611187,1.0656413,-0.4822948,-0.3166874205227493
102,surrogate_cell_00102,1.5216941,1.029718,1.0336007,-0.4880933999999999,-0.3114970648337996
103,surrogate_cell_00103,1.5464429,1.0599166,1.0640467,-0.48239619999999994,-0.31659612193983094
104,surrogate_cell_00104,1.554006,1.0700392,1.0748545,-0.47915149999999995,-0.31952714793911446
105,surrogate_cell_00105,1.5505116,1.07006,1.0743419,-0.47616970000000003,-0.32223824341462115
106,surrogate_cell_00106,1.5408814,1.0581651,1.0624847,-0.4783967,-0.3202118247895014
107,surrogate_cell_00107,1.5496638,1.0616311,1.0652574,-0.4844064000000001,-0.3147901275711879
108,surrogate_cell_00108,1.5457646,1.0590295,1.0635105,-0.4822541,-0.3167240714077877
109,surrogate_cell_00109,1.5427834,1.0554545,1.0602001,-0.48258329999999994,-0.31642771111124407
110,surrogate_cell_00110,1.5389045,1.0608016,1.0657277,-0.47317679999999984,-0.32497655710950774
111,surrogate_cell_00111,1.5327082,1.0299288,1.0340823,-0.4986259000000002,-0.3022251667961871
112,surrogate_cell_00112,1.5461322,1.0583297,1.0639131,-0.4822191,-0.3167555918416852
113,surrogate_cell_00113,1.5487764,1.0564277,1.0607071,-0.48806930000000004,-0.3115185089988264
114,surrogate_cell_00114,1.5551139,1.0602107,1.065452,-0.4896619,-0.3101036865944953
115,surrogate_cell_00115,1.5525694,1.0675465,1.0724487,-0.48012070000000007,-0.3186495693851125
116,surrogate_cell_00116,1.5429323,1.0620676,1.0671973,-0.475735,-0.3226348961980485
117,surrogate_cell_00117,1.533872,1.0535485,1.0592375,-0.47463449999999985,-0.32364069718588934
118,surrogate_cell_00118,1.5402203,1.0560061,1.0616062,-0.47861410000000015,-0.32001451119180796
119,surrogate_cell_00119,1.5483543,1.0521023,1.0564159,-0.4919384,-0.3080892757174836
120,surrogate_cell_00120,1.5491655,1.0543672,1.0588012,-0.4903643,-0.3094811552860042
121,surrogate_cell_00121,1.5448234,1.0599649,1.0639267,-0.4808967000000002,-0.31794820312222777
122,surrogate_cell_00122,1.5449039,1.057032,1.0614042,-0.4834997000000001,-0.31560379104933667
123,surrogate_cell_00123,1.550536,1.061488,1.0655564,-0.48497959999999996,-0.31427652901284464
124,surrogate_cell_00124,1.5402871,1.055828,1.0603852,-0.4799019,-0.31884753062953647
125,surrogate_cell_00125,1.5466061,1.0491734,1.0532837,-0.49332240000000005,-0.30686916433521466
126,surrogate_cell_00126,1.5520307,1.0560955,1.060744,-0.4912867000000001,-0.3086649928249973
127,surrogate_cell_00127,1.5471468,1.0695367,1.0747699,-0.4723769,-0.32571134824605286
128,surrogate_cell_00128,1.5335467,1.0465614,1.0517977,-0.481749,-0.31717917816601926
129,surrogate_cell_00129,1.5452838,1.0624015,1.066789,-0.4784948,-0.3201227775175298
130,surrogate_cell_00130,1.5524502,1.0643996,1.0693431,-0.4831071,-0.3159565798419891
131,surrogate_cell_00131,1.5436772,1.0608296,1.0657979,-0.4778793000000001,-0.3206817811344542
132,surrogate_cell_00132,1.5399531,1.0579032,1.0620995,-0.4778536,-0.32070513780280296
133,surrogate_cell_00133,1.5240574,1.047785,1.0520302,-0.4720272000000001,-0.3260329749464503
134,surrogate_cell_00134,1.5423417,1.0581456,1.0626756,-0.4796661,-0.3190609738475135
135,surrogate_cell_00135,1.5398422,1.0546126,1.0596218,-0.4802204000000001,-0.318559394841919
136,surrogate_cell_00136,1.545338,1.0538135,1.0582107,-0.48712730000000004,-0.3123575306467574
137,surrogate_cell_00137,1.5482879,1.0593241,1.0645676,-0.4837203000000001,-0.3154056864518947
138,surrogate_cell_00138,1.5202821,1.0413127,1.0458668,-0.4744153,-0.3238413133224203
139,surrogate_cell_00139,1.5440097,1.0660139,1.0703418,-0.4736678999999999,-0.324526045976715
140,surrogate_cell_00140,1.5446862,1.0614789,1.0654109,-0.47927529999999985,-0.31941495229275213
141,surrogate_cell_00141,1.5353482,1.0558245,1.0609045,-0.47444370000000013,-0.32381531585959433
142,surrogate_cell_00142,1.5275249,1.0380232,1.0433176,-0.4842073,-0.3149686673390326
143,surrogate_cell_00143,1.5504971,1.0570256,1.0618157,-0.48868140000000015,-0.3109741906027993
144,surrogate_cell_00144,1.5398543,1.0480165,1.0530448,-0.4868095000000001,-0.31264095517953416
145,surrogate_cell_00145,1.5363233,1.0444382,1.0497061,-0.48661719999999997,-0.3128125445348627
146,surrogate_cell_00146,1.5656719,1.0653095,1.0687187,-0.4969531999999999,-0.30368450852688866
147,surrogate_cell_00147,1.5518724,1.0558932,1.061627,-0.49024539999999983,-0.3095864726495818
148,surrogate_cell_00148,1.5518473,1.0625176,1.0673791,-0.4844682,-0.31473472432495164
149,surrogate_cell_00149,1.5277702,1.0342008,1.039098,-0.4886721999999999,-0.3109823667822982
150,surrogate_cell_00150,1.5436335,1.0618517,1.0664227,-0.47721080000000016,-0.3212897361505572
151,surrogate_cell_00151,1.5191888,1.0455484,1.0505079,-0.46868090000000007,-0.32912274477974707
152,surrogate_cell_00152,1.5454715,1.0639865,1.0682025,-0.47726900000000017,-0.3212367733976984
153,surrogate_cell_00153,1.5420871,1.0629405,1.0680724,-0.4740147000000001,-0.3242081899075058
154,surrogate_cell_00154,1.5462165,1.0644392,1.0687441,-0.47747240000000013,-0.32105172748064625
155,surrogate_cell_00155,1.5470579,1.0670955,1.0712755,-0.47578239999999994,-0.3225916272920692
156,surrogate_cell_00156,1.5344667,1.0523875,1.0566013,-0.4778654,-0.3206944135734286
157,surrogate_cell_00157,1.5239872,1.050887,1.0547752,-0.4692120000000002,-0.32863088942186497
158,surrogate_cell_00158,1.5274113,1.0528933,1.0562229,-0.47118839999999995,-0.3268054098117173
159,surrogate_cell_00159,1.519171,1.0310553,1.0365607,-0.48261030000000016,-0.316403413496725
160,surrogate_cell_00160,1.5421336,1.0591466,1.0633613,-0.47877230000000015,-0.31987098421531807
161,surrogate_cell_00161,1.5414135,1.0658426,1.0700693,-0.4713442000000001,-0.3266618326433589
162,surrogate_cell_00162,1.5318207,1.0534856,1.0579095,-0.47391119999999987,-0.3243030274450298
163,surrogate_cell_00163,1.5529215,1.0648526,1.0701472,-0.4827743,-0.3162558571845214
164,surrogate_cell_00164,1.5249783,1.0349033,1.0392213,-0.485757,-0.31358093228267686
165,surrogate_cell_00165,1.5134947,1.0292783,1.0343308,-0.4791639000000001,-0.319515908942901
166,surrogate_cell_00166,1.5331708,1.0399109,1.0442266,-0.48894419999999994,-0.310740701233059
167,surrogate_cell_00167,1.5239317,1.0490916,1.0539466,-0.46998509999999993,-0.3279159103407087
168,surrogate_cell_00168,1.5260483,1.0380272,1.0423797,-0.4836686000000001,-0.31545210630379855
169,surrogate_cell_00169,1.5230694,1.0555121,1.059746,-0.46332339999999994,-0.33411576533822235
170,surrogate_cell_00170,1.533891,1.056492,1.0608406,-0.4730504,-0.32509258595086615
171,surrogate_cell_00171,1.546086,1.0520121,1.0561202,-0.4899658,-0.3098342330106818
172,surrogate_cell_00172,1.5548965,1.0714196,1.0754625,-0.4794339999999999,-0.3192711703665572
173,surrogate_cell_00173,1.5483644,1.0620241,1.0675009,-0.4808635000000001,-0.31797818684749507
174,surrogate_cell_00174,1.5583242,1.072902,1.0776039,-0.4807203,-0.318107537966489
175,surrogate_cell_00175,1.5625523,1.0627245,1.0667815,-0.49577079999999984,-0.3047190559705485
176,surrogate_cell_00176,1.5296303,1.0528047,1.057816,-0.4718142999999999,-0.326228900420728
177,surrogate_cell_00177,1.5237358,1.0499994,1.054382,-0.46935380000000015,-0.32849966163154426
178,surrogate_cell_00178,1.5424607,1.0700444,1.0754695,-0.46699119999999983,-0.3306913032176465
