row_id,cell_id,anonymized_cell_id,batch_id,protocol_readable,C1,C2,C3,C4,cycle_life,label_source,source_cell_id,source_path
10,surrogate_cell_00010,surrogate_cell_00010,2018-08-28_oed_0,5.6-4-5.2-4.707,5.6,4.0,5.2,4.707,647.29969353135,author_model_prediction,2018-08-28_oed_0_CH21,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH21_structure.json
11,surrogate_cell_00011,surrogate_cell_00011,2018-08-28_oed_0,6-5.6-4.4-3.834,6.0,5.6,4.4,3.834,631.4529104681149,author_model_prediction,2018-08-28_oed_0_CH22,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH22_structure.json
12,surrogate_cell_00012,surrogate_cell_00012,2018-08-28_oed_0,5.6-4-5.6-4.421,5.6,4.0,5.6,4.421,635.1582603847288,author_model_prediction,2018-08-28_oed_0_CH23,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH23_structure.json
13,surrogate_cell_00013,surrogate_cell_00013,2018-08-28_oed_0,7-4.8-5.2-3.45,7.0,4.8,5.2,3.45,701.6360844755545,author_model_prediction,2018-08-28_oed_0_CH24,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH24_structure.json
14,surrogate_cell_00014,surrogate_cell_00014,2018-08-28_oed_0,4-7-5.6-3.818,4.0,7.0,5.6,3.818,735.18130434222,author_model_prediction,2018-08-28_oed_0_CH25,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH25_structure.json
15,surrogate_cell_00015,surrogate_cell_00015,2018-08-28_oed_0,6-5.6-4-4.2,6.0,5.6,4.0,4.2,712.5966287075315,author_model_prediction,2018-08-28_oed_0_CH28,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH28_structure.json
16,surrogate_cell_00016,surrogate_cell_00016,2018-08-28_oed_0,8-5.2-4.8-3.25,8.0,5.2,4.8,3.25,600.0034527415714,author_model_prediction,2018-08-28_oed_0_CH1,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH1_structure.json
17,surrogate_cell_00017,surrogate_cell_00017,2018-08-28_oed_0,6-7-3.6-4.065,6.0,7.0,3.6,4.065,620.1480754865107,author_model_prediction,2018-08-28_oed_0_CH29,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH29_structure.json
18,surrogate_cell_00018,surrogate_cell_00018,2018-08-28_oed_0,5.2-5.2-4.8-4.16,5.2,5.2,4.8,4.16,828.282782276999,author_model_prediction,2018-08-28_oed_0_CH30,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH30_structure.json
19,surrogate_cell_00019,surrogate_cell_00019,2018-08-28_oed_0,5.6-7-5.6-3,5.6,7.0,5.6,3.0,701.1536942233366,author_model_prediction,2018-08-28_oed_0_CH31,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH31_structure.json
20,surrogate_cell_00020,surrogate_cell_00020,2018-08-28_oed_0,7-4.8-5.6-3.294,7.0,4.8,5.6,3.294,667.7159828540391,author_model_prediction,2018-08-28_oed_0_CH32,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH32_structure.json
21,surrogate_cell_00021,surrogate_cell_00021,2018-08-28_oed_0,7-6-4.4-3.372,7.0,6.0,4.4,3.372,598.6569878613157,author_model_prediction,2018-08-28_oed_0_CH33,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH33_structure.json
22,surrogate_cell_00022,surrogate_cell_00022,2018-08-28_oed_0,4.4-5.6-5.6-4.017,4.4,5.6,5.6,4.017,770.2705190255276,author_model_prediction,2018-08-28_oed_0_CH34,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH34_structure.json
23,surrogate_cell_00023,surrogate_cell_00023,2018-08-28_oed_0,4.4-5.2-5.6-4.252,4.4,5.2,5.6,4.252,891.9514542745029,author_model_prediction,2018-08-28_oed_0_CH35,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH35_structure.json
24,surrogate_cell_00024,surrogate_cell_00024,2018-08-28_oed_0,5.6-5.6-5.6-3.36,5.6,5.6,5.6,3.36,679.5961253733726,author_model_prediction,2018-08-28_oed_0_CH36,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH36_structure.json
25,surrogate_cell_00025,surrogate_cell_00025,2018-08-28_oed_0,4-6-5.2-4.457,4.0,6.0,5.2,4.457,828.5285293432128,author_model_prediction,2018-08-28_oed_0_CH37,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH37_structure.json
26,surrogate_cell_00026,surrogate_cell_00026,2018-08-28_oed_0,5.6-4.4-4.8-4.563,5.6,4.4,4.8,4.563,619.9288582633395,author_model_prediction,2018-08-28_oed_0_CH38,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH38_structure.json
27,surrogate_cell_00027,surrogate_cell_00027,2018-08-28_oed_0,7-6-3.6-4.065,7.0,6.0,3.6,4.065,625.1462391645648,author_model_prediction,2018-08-28_oed_0_CH2,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH2_structure.json
28,surrogate_cell_00028,surrogate_cell_00028,2018-08-28_oed_0,7-5.2-5.6-3.129,7.0,5.2,5.6,3.129,529.5910566398281,author_model_prediction,2018-08-28_oed_0_CH39,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH39_structure.json
29,surrogate_cell_00029,surrogate_cell_00029,2018-08-28_oed_0,5.6-6-5.2-3.381,5.6,6.0,5.2,3.381,793.0161858224226,author_model_prediction,2018-08-28_oed_0_CH40,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH40_structure.json
30,surrogate_cell_00030,surrogate_cell_00030,2018-08-28_oed_0,7-4-4.4-4.69,7.0,4.0,4.4,4.69,653.6433293586349,author_model_prediction,2018-08-28_oed_0_CH41,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH41_structure.json
31,surrogate_cell_00031,surrogate_cell_00031,2018-08-28_oed_0,7-4.8-4-4.308,7.0,4.8,4.0,4.308,841.0027429671773,author_model_prediction,2018-08-28_oed_0_CH42,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH42_structure.json
32,surrogate_cell_00032,surrogate_cell_00032,2018-08-28_oed_0,6-4-4.8-4.8,6.0,4.0,4.8,4.8,879.7512775709823,author_model_prediction,2018-08-28_oed_0_CH43,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH43_structure.json
33,surrogate_cell_00033,surrogate_cell_00033,2018-08-28_oed_0,8-5.2-4-3.759,8.0,5.2,4.0,3.759,595.5934301495827,author_model_prediction,2018-08-28_oed_0_CH44,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH44_structure.json
34,surrogate_cell_00034,surrogate_cell_00034,2018-08-28_oed_0,4.8-5.2-5.6-3.935,4.8,5.2,5.6,3.935,936.8851665533816,author_model_prediction,2018-08-28_oed_0_CH45,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH45_structure.json
35,surrogate_cell_00035,surrogate_cell_00035,2018-08-28_oed_0,7-4-4.8-4.308,7.0,4.0,4.8,4.308,789.6742387333817,author_model_prediction,2018-08-28_oed_0_CH46,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH46_structure.json
36,surrogate_cell_00036,surrogate_cell_00036,2018-08-28_oed_0,8-4.8-4.4-3.667,8.0,4.8,4.4,3.667,668.8497509747727,author_model_prediction,2018-08-28_oed_0_CH47,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH47_structure.json
37,surrogate_cell_00037,surrogate_cell_00037,2018-08-28_oed_0,6-7-4-3.652,6.0,7.0,4.0,3.652,726.8125314200173,author_model_prediction,2018-08-28_oed_0_CH3,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH3_structure.json
38,surrogate_cell_00038,surrogate_cell_00038,2018-08-28_oed_0,8-3.6-5.2-4.197,8.0,3.6,5.2,4.197,519.3351188104905,author_model_prediction,2018-08-28_oed_0_CH4,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH4_structure.json
39,surrogate_cell_00039,surrogate_cell_00039,2018-08-28_oed_0,7-4.4-5.2-3.691,7.0,4.4,5.2,3.691,820.3766027647529,author_model_prediction,2018-08-28_oed_0_CH5,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH5_structure.json
40,surrogate_cell_00040,surrogate_cell_00040,2018-08-28_oed_0,4.8-7-4.4-3.924,4.8,7.0,4.4,3.924,1234.855720545823,author_model_prediction,2018-08-28_oed_0_CH6,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH6_structure.json
41,surrogate_cell_00041,surrogate_cell_00041,2018-08-28_oed_0,8-4.8-5.2-3.25,8.0,4.8,5.2,3.25,613.6788280326241,author_model_prediction,2018-08-28_oed_0_CH7,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH7_structure.json
42,surrogate_cell_00042,surrogate_cell_00042,2018-08-28_oed_0,5.2-6-4.4-4.047,5.2,6.0,4.4,4.047,796.7602511170073,author_model_prediction,2018-08-28_oed_0_CH8,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-08-28_oed_0/2018-08-28_oed_0_CH8_structure.json
43,surrogate_cell_00043,surrogate_cell_00043,2018-09-02_oed_1,4.4-6-4.8-4.328,4.4,6.0,4.8,4.328,1026.3910836222003,author_model_prediction,2018-09-02_oed_1_CH9,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH9_structure.json
44,surrogate_cell_00044,surrogate_cell_00044,2018-09-02_oed_1,4.8-6-5.6-3.574,4.8,6.0,5.6,3.574,969.3626839860752,author_model_prediction,2018-09-02_oed_1_CH10,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH10_structure.json
45,surrogate_cell_00045,surrogate_cell_00045,2018-09-02_oed_1,4-6-5.6-4.2,4.0,6.0,5.6,4.2,990.3571388080868,author_model_prediction,2018-09-02_oed_1_CH12,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH12_structure.json
46,surrogate_cell_00046,surrogate_cell_00046,2018-09-02_oed_1,4.8-6-4.8-4,4.8,6.0,4.8,4.0,965.670459209971,author_model_prediction,2018-09-02_oed_1_CH13,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH13_structure.json
47,surrogate_cell_00047,surrogate_cell_00047,2018-09-02_oed_1,4.8-5.6-4.8-4.2,4.8,5.6,4.8,4.2,1072.663341281162,author_model_prediction,2018-09-02_oed_1_CH14,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH14_structure.json
48,surrogate_cell_00048,surrogate_cell_00048,2018-09-02_oed_1,4.8-5.6-5.2-3.935,4.8,5.6,5.2,3.935,1092.5530557782963,author_model_prediction,2018-09-02_oed_1_CH15,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH15_structure.json
49,surrogate_cell_00049,surrogate_cell_00049,2018-09-02_oed_1,4-6-4.8-4.8,4.0,6.0,4.8,4.8,852.3594187097771,author_model_prediction,2018-09-02_oed_1_CH16,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH16_structure.json
50,surrogate_cell_00050,surrogate_cell_00050,2018-09-02_oed_1,8-7-5.6-2.585,8.0,7.0,5.6,2.585,391.16863064479173,author_model_prediction,2018-09-02_oed_1_CH17,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH17_structure.json
51,surrogate_cell_00051,surrogate_cell_00051,2018-09-02_oed_1,4.4-6-4.4-4.714,4.4,6.0,4.4,4.714,801.0581389462578,author_model_prediction,2018-09-02_oed_1_CH18,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH18_structure.json
52,surrogate_cell_00052,surrogate_cell_00052,2018-09-02_oed_1,8-7-5.2-2.68,8.0,7.0,5.2,2.68,468.599729525,author_model_prediction,2018-09-02_oed_1_CH19,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH19_structure.json
53,surrogate_cell_00053,surrogate_cell_00053,2018-09-02_oed_1,4.4-7-4-4.69,4.4,7.0,4.0,4.69,780.1222522809334,author_model_prediction,2018-09-02_oed_1_CH20,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH20_structure.json
54,surrogate_cell_00054,surrogate_cell_00054,2018-09-02_oed_1,4-6-5.2-4.457,4.0,6.0,5.2,4.457,826.9464427300893,author_model_prediction,2018-09-02_oed_1_CH21,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH21_structure.json
55,surrogate_cell_00055,surrogate_cell_00055,2018-09-02_oed_1,4.4-7-4.4-4.239,4.4,7.0,4.4,4.239,751.8500020524103,author_model_prediction,2018-09-02_oed_1_CH22,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH22_structure.json
56,surrogate_cell_00056,surrogate_cell_00056,2018-09-02_oed_1,4-7-4.4-4.69,4.0,7.0,4.4,4.69,693.9672320833718,author_model_prediction,2018-09-02_oed_1_CH23,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH23_structure.json
57,surrogate_cell_00057,surrogate_cell_00057,2018-09-02_oed_1,8-7-4.8-2.8,8.0,7.0,4.8,2.8,607.5878934987472,author_model_prediction,2018-09-02_oed_1_CH24,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH24_structure.json
58,surrogate_cell_00058,surrogate_cell_00058,2018-09-02_oed_1,4.8-7-4.4-3.924,4.8,7.0,4.4,3.924,901.4334313646356,author_model_prediction,2018-09-02_oed_1_CH25,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH25_structure.json
59,surrogate_cell_00059,surrogate_cell_00059,2018-09-02_oed_1,7-7-5.6-2.71,7.0,7.0,5.6,2.71,611.9983231099872,author_model_prediction,2018-09-02_oed_1_CH26,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH26_structure.json
60,surrogate_cell_00060,surrogate_cell_00060,2018-09-02_oed_1,4.8-7-4.8-3.652,4.8,7.0,4.8,3.652,881.8884228303649,author_model_prediction,2018-09-02_oed_1_CH27,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH27_structure.json
61,surrogate_cell_00061,surrogate_cell_00061,2018-09-02_oed_1,4.4-5.2-5.6-4.252,4.4,5.2,5.6,4.252,975.0913059218864,author_model_prediction,2018-09-02_oed_1_CH28,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH28_structure.json
62,surrogate_cell_00062,surrogate_cell_00062,2018-09-02_oed_1,4-5.2-5.6-4.707,4.0,5.2,5.6,4.707,882.2903981534288,author_model_prediction,2018-09-02_oed_1_CH1,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH1_structure.json
63,surrogate_cell_00063,surrogate_cell_00063,2018-09-02_oed_1,4.4-4.8-5.6-4.563,4.4,4.8,5.6,4.563,930.7080745642816,author_model_prediction,2018-09-02_oed_1_CH29,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH29_structure.json
64,surrogate_cell_00064,surrogate_cell_00064,2018-09-02_oed_1,4.8-5.2-4.8-4.457,4.8,5.2,4.8,4.457,1040.0518747633291,author_model_prediction,2018-09-02_oed_1_CH30,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH30_structure.json
65,surrogate_cell_00065,surrogate_cell_00065,2018-09-02_oed_1,7-7-5.2-2.814,7.0,7.0,5.2,2.814,630.4777579913385,author_model_prediction,2018-09-02_oed_1_CH31,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH31_structure.json
66,surrogate_cell_00066,surrogate_cell_00066,2018-09-02_oed_1,8-7-4.4-2.957,8.0,7.0,4.4,2.957,602.2191647199542,author_model_prediction,2018-09-02_oed_1_CH32,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH32_structure.json
67,surrogate_cell_00067,surrogate_cell_00067,2018-09-02_oed_1,4.8-7-4-4.308,4.8,7.0,4.0,4.308,896.7340068334933,author_model_prediction,2018-09-02_oed_1_CH33,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH33_structure.json
68,surrogate_cell_00068,surrogate_cell_00068,2018-09-02_oed_1,4.8-5.6-4.4-4.563,4.8,5.6,4.4,4.563,925.3285876991602,author_model_prediction,2018-09-02_oed_1_CH34,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH34_structure.json
69,surrogate_cell_00069,surrogate_cell_00069,2018-09-02_oed_1,4.8-5.6-5.6-3.733,4.8,5.6,5.6,3.733,925.8932576299488,author_model_prediction,2018-09-02_oed_1_CH35,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH35_structure.json
70,surrogate_cell_00070,surrogate_cell_00070,2018-09-02_oed_1,4.4-7-4.8-3.924,4.4,7.0,4.8,3.924,834.7274806481056,author_model_prediction,2018-09-02_oed_1_CH36,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH36_structure.json
71,surrogate_cell_00071,surrogate_cell_00071,2018-09-02_oed_1,5.2-7-4.8-3.45,5.2,7.0,4.8,3.45,809.6975295252286,author_model_prediction,2018-09-02_oed_1_CH37,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH37_structure.json
72,surrogate_cell_00072,surrogate_cell_00072,2018-09-02_oed_1,8-7-4-3.17,8.0,7.0,4.0,3.17,517.5280143506313,author_model_prediction,2018-09-02_oed_1_CH38,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH38_structure.json
73,surrogate_cell_00073,surrogate_cell_00073,2018-09-02_oed_1,4.4-5.6-4.8-4.563,4.4,5.6,4.8,4.563,888.8978421024603,author_model_prediction,2018-09-02_oed_1_CH2,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH2_structure.json
74,surrogate_cell_00074,surrogate_cell_00074,2018-09-02_oed_1,8-7-3.6-3.476,8.0,7.0,3.6,3.476,552.631769142778,author_model_prediction,2018-09-02_oed_1_CH39,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH39_structure.json
75,surrogate_cell_00075,surrogate_cell_00075,2018-09-02_oed_1,5.2-7-4.4-3.691,5.2,7.0,4.4,3.691,944.442829312766,author_model_prediction,2018-09-02_oed_1_CH40,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH40_structure.json
76,surrogate_cell_00076,surrogate_cell_00076,2018-09-02_oed_1,4.8-5.2-5.2-4.16,4.8,5.2,5.2,4.16,1038.3275963694034,author_model_prediction,2018-09-02_oed_1_CH41,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH41_structure.json
77,surrogate_cell_00077,surrogate_cell_00077,2018-09-02_oed_1,5.2-6-5.2-3.545,5.2,6.0,5.2,3.545,937.3243337981512,author_model_prediction,2018-09-02_oed_1_CH42,/Users/sreyavangara/Documents/Research/Code/battery-arr/literature_models_and_data/battery-fast-charging/data/2018-09-02_oed_1/2018-09-02_oed_1_CH42_structure.json
